URLLength,IsDomainIP,HasObfuscation,NoOfSubDomain,IsHTTPS,URLSimilarityIndex,NoOfEqualsInURL,NoOfQMarkInURL,SpacialCharRatioInURL,DomainLength,TLDLegitimateProb,CharContinuationRate,URLCharProb,TLDLength,NoOfiFrame,NoOfPopup,HasHiddenFields,NoOfSelfRedirect,HasExternalFormSubmit,HasSubmitButton,HasPasswordField,HasSocialNet
34,0,0,2,1,64.7059,0,0,0.1765,26,0.9,0.1212,1.0,2,0,0,0,0,0,0,0,0
18,0,0,1,1,50.0,0,0,0.2778,10,0.5,0.2353,1.0,2,0,0,0,0,0,0,0,0
24,0,0,1,1,75.0,0,0,0.2083,16,0.9,0.4783,1.0,3,0,0,0,0,0,0,0,0
37,0,0,1,0,78.3784,0,0,0.1351,30,0.95,0.1111,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,66.6667,0,0,0.25,16,0.9,0.1739,1.0,3,0,0,0,0,0,0,0,0
34,0,0,1,1,50.0,0,0,0.2059,25,0.95,0.1212,1.0,3,0,0,0,0,0,0,0,0
70,0,0,1,0,90.0,0,0,0.1143,43,0.5,0.029,1.0,2,0,0,0,0,0,0,0,0
30,0,0,1,1,66.6667,0,0,0.2,22,0.5,0.1724,1.0,2,0,0,0,0,0,0,0,0
32,0,0,1,1,65.625,0,0,0.2188,24,0.8,0.1613,1.0,2,0,0,0,0,0,0,0,0
19,0,0,1,1,68.4211,0,0,0.2632,11,0.88,0.2222,1.0,2,0,0,0,0,0,0,0,0
31,0,0,1,1,80.6452,0,0,0.1613,23,0.9,0.1333,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,69.2308,0,0,0.1923,18,0.85,0.16,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,70.8333,0,0,0.2083,16,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
22,0,0,1,0,45.4545,0,0,0.2727,14,0.95,0.1905,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,0,58.3333,0,0,0.2083,17,0.5,0.1739,1.0,2,0,0,0,0,0,0,0,0
48,0,0,4,0,75.0,0,0,0.2083,41,0.95,0.0851,1.0,3,0,0,0,0,0,0,0,0
38,0,0,1,0,73.6842,0,0,0.1842,30,0.95,0.1081,1.0,3,0,0,0,0,0,0,0,0
45,0,0,2,1,64.4444,0,0,0.2,36,0.5,0.0909,1.0,3,0,0,0,0,0,0,0,0
42,0,0,1,0,71.4286,0,0,0.2143,19,0.5,0.0732,1.0,2,0,0,0,0,0,0,0,0
29,0,0,1,0,68.9655,0,0,0.1724,22,0.95,0.1429,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,0,62.963,0,0,0.1852,20,0.95,0.1923,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,0,56.5217,0,0,0.2174,16,0.9,0.1818,1.0,3,0,0,0,0,0,0,0,0
40,0,0,2,1,75.0,0,0,0.15,32,0.9,0.1282,1.0,2,0,0,0,0,0,0,0,0
29,0,0,1,1,44.8276,0,0,0.2414,20,0.95,0.1071,1.0,3,0,0,0,0,0,0,0,0
237,0,0,3,1,98.3122,4,1,0.1435,79,0.95,0.0212,0.9916,3,0,0,0,0,0,0,0,0
24,0,0,1,0,62.5,0,0,0.2083,17,0.5,0.1739,1.0,3,0,0,0,0,0,0,0,0
20,0,0,1,0,60.0,0,0,0.25,13,0.95,0.2105,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,53.8462,0,0,0.2308,18,0.5,0.16,1.0,2,0,0,0,225,1,1,0,1
37,0,0,1,1,78.3784,0,0,0.1351,29,0.95,0.1111,1.0,3,0,0,0,0,0,0,0,1
56,0,0,2,1,82.1429,0,0,0.1964,47,0.8,0.0909,1.0,2,0,0,0,0,0,0,0,0
40,0,0,1,1,67.5,0,0,0.225,31,0.5,0.1026,1.0,3,0,0,0,0,0,0,0,0
19,0,0,1,1,73.6842,0,0,0.2632,11,0.85,0.2222,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,50.0,0,0,0.2083,16,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,50.0,0,0,0.1786,20,0.95,0.1852,1.0,3,0,0,0,0,0,0,0,0
24,0,0,2,1,58.3333,0,0,0.25,16,0.9,0.1739,1.0,2,0,0,0,0,0,0,0,0
20,0,0,1,1,55.0,0,0,0.25,12,0.95,0.2632,1.0,3,0,3,0,208,0,0,0,0
26,0,0,1,1,65.3846,0,0,0.1923,18,0.95,0.2,1.0,3,1,0,0,2,0,0,0,1
27,0,0,1,1,77.7778,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
113,0,1,0,0,92.0354,0,0,0.177,11,0.95,0.1161,0.9823,3,0,0,0,0,0,0,0,0
88,0,0,1,1,86.3636,0,0,0.0795,15,0.5,0.0345,1.0,2,0,0,0,0,0,0,0,0
30,0,0,1,1,73.3333,0,0,0.2333,21,0.5,0.1034,1.0,3,0,0,0,0,0,0,0,0
29,0,0,2,1,68.9655,0,0,0.2069,21,0.9,0.1786,1.0,2,0,0,0,0,0,0,0,0
30,0,0,1,1,70.0,0,0,0.2333,21,0.5,0.1379,1.0,3,0,0,0,0,0,0,0,0
28,0,0,2,1,71.4286,0,0,0.2143,20,0.9,0.1481,1.0,2,0,0,0,0,0,0,0,0
20,0,0,0,1,65.0,0,0,0.25,11,0.95,0.1053,1.0,3,0,0,0,0,0,0,0,0
37,0,0,3,1,81.0811,0,0,0.2162,28,0.5,0.0833,1.0,3,0,0,0,0,0,0,0,0
32,0,0,1,1,90.625,0,0,0.1562,24,0.95,0.129,1.0,3,0,0,0,0,0,0,0,0
101,0,0,1,1,92.0792,0,0,0.099,16,0.5,0.06,1.0,4,0,0,0,0,0,0,0,0
25,0,0,1,1,60.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
34,0,0,1,1,70.5882,0,0,0.1471,26,0.9,0.1212,1.0,3,2,0,1,52,0,1,0,1
38,0,0,1,0,73.6842,0,0,0.1316,31,0.95,0.1351,1.0,3,0,0,1,0,0,1,0,1
26,0,0,2,0,61.5385,0,0,0.2308,19,0.85,0.16,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,0,60.0,0,0,0.2,18,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
51,0,0,1,1,86.2745,0,0,0.1373,42,0.5,0.12,1.0,2,0,0,0,0,0,0,0,0
30,0,0,1,1,66.6667,0,0,0.1667,22,0.88,0.1379,1.0,2,1,0,1,13,0,1,0,1
52,0,0,2,1,69.2308,0,0,0.1731,43,0.5,0.0588,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,65.3846,0,0,0.1923,18,0.9,0.16,1.0,3,0,0,0,0,0,0,0,0
26,0,0,2,1,46.1538,0,0,0.2308,18,0.9,0.16,1.0,2,0,0,0,0,0,0,0,0
27,0,0,1,0,70.3704,0,0,0.1852,20,0.95,0.1923,1.0,3,0,0,0,0,0,0,0,0
20,0,0,1,1,55.0,0,0,0.25,12,0.95,0.2105,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,1,68.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
41,0,0,1,0,70.7317,0,0,0.2195,14,0.9,0.05,1.0,2,0,0,0,0,0,0,0,0
21,0,0,1,1,61.9048,0,0,0.2381,13,0.95,0.2,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,1,73.913,0,0,0.2174,15,0.95,0.1818,1.0,3,0,0,0,0,0,0,0,0
30,0,0,1,0,73.3333,0,0,0.1667,23,0.95,0.1379,1.0,3,0,0,0,0,0,0,0,0
30,0,0,1,0,46.6667,0,0,0.1667,23,0.95,0.1379,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,73.0769,0,0,0.2308,17,0.35,0.16,1.0,4,0,0,0,0,0,0,0,0
29,0,0,0,0,65.5172,0,0,0.1379,22,0.5,0.1071,1.0,8,0,0,0,0,0,0,0,0
25,0,0,1,1,72.0,0,0,0.2,17,0.95,0.1667,1.0,3,2,0,1,110,1,1,0,1
24,0,0,1,1,70.8333,0,0,0.2083,16,0.95,0.1739,1.0,3,1,0,0,0,0,1,0,1
27,0,0,1,1,55.5556,0,0,0.2222,18,0.5,0.1538,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,58.3333,0,0,0.2083,16,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,70.3704,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
43,0,0,1,0,67.4419,0,0,0.1628,35,0.95,0.0952,1.0,3,0,0,0,0,0,0,0,0
33,0,0,2,1,57.5758,0,0,0.1818,25,0.5,0.125,1.0,2,0,0,0,28,0,1,0,1
29,0,0,1,1,68.9655,0,0,0.1724,21,0.9,0.1786,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,0,56.0,0,0,0.2,18,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,1,56.5217,0,0,0.2609,15,0.5,0.2273,1.0,2,0,0,0,0,0,0,0,0
22,0,0,1,1,68.1818,0,0,0.2273,14,0.95,0.2381,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,71.4286,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
45,0,0,1,1,86.6667,0,0,0.1778,16,0.5,0.0682,1.0,3,0,0,0,0,0,0,0,0
22,0,0,0,1,45.4545,0,0,0.2273,6,0.5,0.0952,1.0,2,0,0,0,0,0,0,0,0
22,0,0,1,1,72.7273,0,0,0.2273,14,0.95,0.1905,1.0,3,0,0,0,0,0,0,0,0
51,0,0,1,1,76.4706,0,0,0.1765,42,0.95,0.06,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,71.4286,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
134,0,0,2,1,88.806,4,2,0.1418,29,0.95,0.0301,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,1,60.8696,0,0,0.2174,15,0.9,0.1818,1.0,3,0,0,0,0,0,0,0,0
27,0,0,2,0,66.6667,0,0,0.2222,20,0.5,0.1538,1.0,2,0,0,0,0,0,0,0,0
25,0,0,1,1,64.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
34,0,0,1,1,79.4118,0,0,0.1471,26,0.95,0.1212,1.0,3,0,0,0,0,0,0,0,0
29,0,0,1,0,68.9655,0,0,0.1724,22,0.9,0.0714,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,1,69.5652,0,0,0.2174,15,0.9,0.1818,1.0,3,0,0,0,0,0,0,0,0
20,0,0,1,1,55.0,0,0,0.25,12,0.95,0.2105,1.0,3,0,0,0,0,0,0,0,0
54,0,0,1,1,77.7778,0,0,0.1296,34,0.95,0.0566,1.0,3,0,0,0,0,0,0,0,0
21,0,0,2,1,71.4286,0,0,0.2857,13,0.5,0.25,1.0,2,0,0,0,0,0,0,0,0
50,0,0,1,1,90.0,0,0,0.22,41,0.5,0.0612,1.0,3,0,0,0,0,0,0,0,0
56,0,0,4,0,83.9286,0,0,0.1786,49,0.95,0.0727,1.0,3,0,0,0,0,0,0,0,0
29,0,0,1,1,89.6552,0,0,0.1724,21,0.95,0.2143,1.0,3,0,0,1,43,0,1,0,1
22,0,0,1,1,59.0909,0,0,0.2273,14,0.95,0.2381,1.0,3,0,0,0,0,0,0,0,0
22,0,0,1,0,59.0909,0,0,0.2273,15,0.95,0.1905,1.0,3,0,0,0,0,0,0,0,0
33,0,0,1,1,66.6667,0,0,0.1818,24,0.95,0.0938,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,73.0769,0,0,0.1923,18,0.95,0.16,1.0,3,0,0,0,192,0,1,0,0
20,0,0,1,0,60.0,0,0,0.25,13,0.85,0.2105,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,1,56.5217,0,0,0.2174,15,0.95,0.1818,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,1,60.8696,0,0,0.2174,15,0.5,0.1818,1.0,2,0,0,0,0,0,0,0,0
24,0,0,1,1,58.3333,0,0,0.2083,16,0.85,0.1739,1.0,3,0,0,0,0,0,0,0,0
20,0,0,1,1,65.0,0,0,0.25,12,0.5,0.2105,1.0,2,0,0,0,0,0,0,0,0
27,0,0,1,1,48.1481,0,0,0.2593,18,0.5,0.1154,1.0,3,0,0,0,0,0,0,0,0
39,0,0,0,1,79.4872,0,0,0.1538,17,0.95,0.0526,1.0,3,0,0,0,0,0,0,0,0
20,0,0,1,1,50.0,0,0,0.25,12,0.95,0.2105,1.0,3,1,0,1,15,1,1,0,0
24,0,0,2,0,62.5,0,0,0.25,17,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
36,0,0,1,1,80.5556,0,0,0.1389,28,0.85,0.1429,1.0,3,0,0,0,0,0,0,0,0
21,0,0,1,1,61.9048,0,0,0.2381,13,0.9,0.2,1.0,2,0,0,0,0,0,0,0,0
23,0,0,1,1,56.5217,0,0,0.2609,15,0.95,0.1818,1.0,3,0,0,0,0,0,0,0,0
37,0,0,1,1,75.6757,0,0,0.1351,29,0.95,0.1111,1.0,3,0,0,0,39,0,1,0,1
20,0,0,1,0,45.0,0,0,0.25,13,0.5,0.2105,1.0,2,0,0,0,0,0,0,0,0
31,0,0,1,1,70.9677,0,0,0.1613,23,0.95,0.1333,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,67.8571,0,0,0.1786,20,0.95,0.1852,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,57.6923,0,0,0.1923,18,0.95,0.16,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,59.2593,0,0,0.1852,19,0.9,0.1538,1.0,3,0,0,0,0,0,0,0,0
21,0,0,1,1,66.6667,0,0,0.2381,13,0.55,0.2,1.0,4,0,0,0,63,0,1,0,0
31,0,0,1,1,74.1935,0,0,0.1613,23,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
31,0,0,1,0,67.7419,0,0,0.1613,24,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
30,0,0,1,0,83.3333,0,0,0.2333,16,0.95,0.069,1.0,3,0,0,0,0,0,0,0,0
29,0,0,1,0,75.8621,0,0,0.1724,22,0.5,0.1786,1.0,7,0,0,0,0,0,0,0,0
25,0,0,0,1,68.0,0,0,0.2,8,0.5,0.125,1.0,2,0,0,0,0,0,0,0,0
34,0,0,1,1,79.4118,0,0,0.1471,26,0.95,0.1212,1.0,3,0,0,0,13,0,1,0,1
24,0,0,1,1,70.8333,0,0,0.2083,16,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,66.6667,0,0,0.2083,16,0.95,0.2174,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,1,56.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,1,1,117,0,1,0,1
19,0,0,1,1,47.3684,0,0,0.2632,11,0.88,0.2222,1.0,2,0,0,0,0,0,0,0,0
29,0,0,1,0,51.7241,0,0,0.1724,22,0.9,0.0714,1.0,3,0,0,0,0,0,0,0,0
29,0,0,1,0,62.069,0,0,0.1724,22,0.55,0.1429,1.0,4,0,0,0,0,0,0,0,0
31,0,0,1,1,70.9677,0,0,0.1613,23,0.95,0.1333,1.0,3,0,0,0,0,0,0,0,0
53,0,0,1,0,83.0189,0,0,0.1887,17,0.9,0.0769,1.0,3,0,0,0,0,0,0,0,0
39,0,0,1,1,76.9231,0,0,0.1795,19,0.5,0.0526,1.0,2,0,0,0,0,0,0,0,0
91,0,0,1,1,90.1099,0,0,0.1538,19,0.8,0.0556,1.0,2,0,0,0,0,0,0,0,0
71,0,0,0,1,83.0986,0,0,0.0986,11,0.95,0.0429,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,0,62.5,0,0,0.2083,17,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
71,0,0,3,1,87.3239,0,0,0.1831,47,0.95,0.0286,1.0,3,0,0,0,0,0,0,0,0
23,0,0,2,1,65.2174,0,0,0.2609,15,0.5,0.2273,1.0,2,0,0,0,0,0,0,0,0
23,0,0,2,1,52.1739,0,0,0.2609,15,0.5,0.1818,1.0,2,0,0,0,0,0,0,0,0
23,0,0,1,1,73.913,0,0,0.2174,15,0.95,0.1818,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,67.8571,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
31,0,0,1,1,74.1935,0,0,0.2258,23,0.9,0.2,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,1,64.0,0,0,0.28,16,0.5,0.125,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,57.1429,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,79.1667,0,0,0.2083,16,0.85,0.1739,1.0,3,0,0,0,0,0,0,0,0
33,0,0,1,1,81.8182,0,0,0.1515,25,0.99,0.125,1.0,3,0,0,0,0,0,0,0,0
54,0,0,1,1,81.4815,0,0,0.1667,45,0.95,0.1321,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,0,68.0,0,0,0.2,18,0.95,0.2083,1.0,3,0,0,0,0,0,0,0,0
49,0,0,0,1,77.551,0,0,0.1224,20,0.5,0.125,1.0,2,0,0,0,0,0,0,0,0
22,0,0,1,1,59.0909,0,0,0.2273,14,0.8,0.1905,1.0,2,0,0,0,0,0,0,0,0
58,0,0,1,1,81.0345,0,0,0.1552,16,0.95,0.0702,1.0,3,0,0,0,0,0,0,0,0
23,0,0,2,1,65.2174,0,0,0.2609,15,0.5,0.1818,1.0,2,0,0,0,0,0,0,0,0
27,0,0,0,0,48.1481,0,0,0.2593,20,0.9,0.1538,1.0,3,0,0,0,0,0,0,0,0
20,0,0,0,1,40.0,0,0,0.25,6,0.5,0.1579,1.0,2,0,0,0,0,0,0,0,0
21,0,0,1,0,52.381,0,0,0.2381,14,0.95,0.2,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,66.6667,0,0,0.2083,16,0.95,0.2174,1.0,3,2,0,1,0,0,1,0,1
29,0,0,1,1,55.1724,0,0,0.2414,20,0.5,0.1429,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,0,61.5385,0,0,0.1923,19,0.5,0.16,1.0,2,0,0,0,0,0,0,0,0
18,0,0,1,1,61.1111,0,0,0.2778,10,0.5,0.2353,1.0,2,1,0,0,69,0,1,0,1
119,0,1,2,1,91.5966,2,1,0.1176,74,0.5,0.0339,0.9916,4,0,0,0,0,0,0,0,0
24,0,0,1,1,70.8333,0,0,0.2083,16,0.9,0.1739,1.0,3,0,0,0,0,0,0,0,0
22,0,0,1,1,68.1818,0,0,0.2273,14,0.95,0.1905,1.0,3,0,0,0,0,0,0,0,0
44,0,0,1,0,86.3636,0,0,0.1364,36,0.95,0.1163,1.0,3,0,0,0,0,0,0,0,0
46,0,0,2,0,71.7391,0,0,0.1739,38,0.5,0.0889,1.0,4,0,0,0,0,0,0,0,0
58,0,0,0,0,81.0345,0,0,0.1034,11,0.95,0.0877,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,70.3704,0,0,0.1852,19,0.5,0.1923,1.0,2,0,0,0,9,0,0,0,1
28,0,0,1,1,75.0,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
30,0,0,1,0,60.0,0,0,0.1667,23,0.95,0.1724,1.0,3,0,0,0,0,0,0,0,0
22,0,0,1,0,50.0,0,0,0.2273,15,0.95,0.1905,1.0,3,0,0,0,0,0,0,0,0
30,0,0,2,0,73.3333,0,0,0.2,23,0.95,0.1379,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,55.5556,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
44,0,0,1,0,77.2727,0,0,0.2045,36,0.95,0.093,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,58.3333,0,0,0.2083,16,0.85,0.1739,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,74.0741,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,0,69.2308,0,0,0.2308,19,0.5,0.16,1.0,2,0,0,0,0,0,0,0,0
28,0,0,1,1,71.4286,0,0,0.2143,19,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
60,0,0,1,1,88.3333,0,0,0.1833,51,0.95,0.0508,1.0,3,0,0,0,0,0,0,0,0
32,0,0,2,1,68.75,0,0,0.1875,24,0.9,0.1613,1.0,2,0,0,0,0,0,1,0,0
20,0,0,1,1,75.0,0,0,0.25,12,0.95,0.2105,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,69.2308,0,0,0.1923,18,0.95,0.16,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,75.0,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
30,0,0,0,1,63.3333,0,0,0.1667,13,0.5,0.1379,1.0,4,0,0,0,1,0,0,0,0
23,0,0,1,1,60.8696,0,0,0.2174,15,0.95,0.2273,1.0,3,0,0,0,0,0,0,0,0
56,0,0,2,1,87.5,0,0,0.125,47,0.8,0.0727,1.0,2,0,0,0,0,0,0,0,0
31,0,0,1,1,67.7419,0,0,0.1613,23,0.9,0.1333,1.0,2,0,0,0,0,0,0,0,0
71,0,0,0,1,80.2817,0,0,0.0986,11,0.95,0.0429,1.0,3,0,0,0,0,0,0,0,0
34,0,0,1,1,76.4706,0,0,0.1471,26,0.9,0.1212,1.0,3,0,0,0,0,1,1,0,1
36,0,0,1,1,75.0,0,0,0.1389,28,0.95,0.1429,1.0,3,1,0,1,153,0,1,0,1
34,0,0,1,1,55.8824,0,0,0.1765,25,0.95,0.0606,1.0,3,0,0,0,0,0,0,0,0
35,0,0,2,1,77.1429,0,0,0.1714,27,0.9,0.1471,1.0,2,0,0,1,242,0,1,0,1
25,0,0,1,1,68.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,1,1,2,0,1,1,1
34,0,0,1,1,76.4706,0,0,0.1471,26,0.95,0.1212,1.0,3,0,0,0,0,0,0,0,0
32,0,0,1,1,84.375,0,0,0.1562,24,0.9,0.1613,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,58.3333,0,0,0.2083,16,0.95,0.1739,1.0,3,0,0,0,0,0,0,0,0
23,0,0,1,0,47.8261,0,0,0.2174,16,0.5,0.1818,1.0,4,0,0,0,0,0,0,0,0
29,0,0,1,1,72.4138,0,0,0.1724,21,0.95,0.1429,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,62.963,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,74.0741,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
50,0,0,4,1,76.0,0,0,0.18,41,0.85,0.0816,1.0,3,0,0,0,0,0,0,0,0
26,0,0,2,1,57.6923,0,0,0.2308,18,0.5,0.2,1.0,2,0,0,0,0,0,0,0,0
31,0,0,2,0,80.6452,0,0,0.1935,24,0.5,0.1667,1.0,4,0,0,0,0,0,0,0,0
25,0,0,1,1,60.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
